Date,Open,High,Low,Close,Volume,MarketValue,DividendYield,PriceToEarnings,EPS,PriceToCash,PriceToBook
12/01/2014,115.6402045,116.3154784,115.5135963,115.8512268,563831,76666.63,1.82,27.5,4.98,20.8,3.77
12/02/2014,116.27326,116.9485338,115.7246073,116.5264893,628713,77113.5,1.81,27.7,4.98,20.93,3.79
12/03/2014,116.2310642,117.1595674,116.1888572,116.3998795,519450,77029.69,1.81,27.7,4.98,20.9,3.79
12/04/2014,116.2310679,117.2017781,114.2896603,114.4584885,1043572,75744.94,1.84,27.2,4.98,20.55,3.72
12/05/2014,115.809004,117.4127808,115.3869595,117.4127808,821623,77700,1.8,27.9,4.98,21.09,3.82
12/08/2014,116.9485329,117.3283704,116.3998674,116.7375107,411071,77253.13,1.81,27.8,4.98,20.96,3.8
12/09/2014,115.7668195,116.4843004,114.2052623,114.7117081,905292,75912.5,1.84,27.3,4.98,20.6,3.73
12/10/2014,115.5135905,116.5264947,114.5850874,114.8805237,686640,76024.25,1.84,27.3,4.98,20.63,3.74
12/11/2014,114.4584781,115.2603601,113.8254113,114.28965,637379,75633.25,1.85,27.2,4.98,20.52,3.72
12/12/2014,113.7409853,114.1630298,112.1372215,112.3482437,871690,74348.5,1.88,26.7,4.98,20.18,3.65
15/12/2014,112.0950244,113.2767439,109.6049644,109.8159866,780081,72672.69,1.92,26.1,4.98,19.72,3.57
16/12/2014,110.6178772,111.5885745,107.7901736,111.5041733,1420055,73789.88,1.89,26.5,4.98,20.02,3.63
17/12/2014,110.9977121,113.2345429,110.2380371,112.6858902,1193902,74571.94,1.87,26.8,4.98,20.24,3.67
18/12/2014,114.4162783,116.0200424,113.1079376,116.0200424,980446,76778.31,1.82,27.6,4.98,20.84,3.77
19/12/2014,116.2310574,117.2439617,114.1208348,116.1888504,1264902,76890.06,1.82,27.6,4.98,20.87,3.78
22/12/2014,116.0622357,117.7082066,116.0200287,116.7797165,534302,77281.06,1.81,27.8,4.98,20.97,3.8
23/12/2014,117.243973,118.0458679,116.5265049,118.0458679,512034,78118.94,1.79,28.1,4.98,21.2,3.84
24/12/2014,117.8770219,118.0036429,116.2310509,116.7797165,128252,77281.06,1.81,27.8,4.98,20.97,3.8
29/12/2014,116.484286,118.2990723,116.3576778,118.2990723,439237,78286.5,1.78,28.1,4.98,21.24,3.85
30/12/2014,117.7926256,118.5100935,116.6108932,116.6108932,373973,77169.38,1.81,27.7,4.98,20.94,3.79
31/12/2014,116.9063378,117.6660128,116.9063378,117.5816116,124168,77811.75,1.79,28,4.98,21.12,3.82
01/02/2015,117.4127984,118.1724734,115.3869768,115.9778366,494248,76750.44,1.82,27.6,4.98,17.41,3.26
01/05/2015,114.7961282,117.497211,113.1079499,113.2345581,888302,74935,1.86,26.9,4.98,16.99,3.18
01/06/2015,113.4877874,114.5851059,113.0657428,113.2345581,760714,74935,1.86,26.9,4.98,16.99,3.18
01/07/2015,113.9520135,114.7116885,112.601466,113.8675995,653133,75353.94,1.85,27.1,4.98,17.09,3.2
01/08/2015,115.1759286,118.1302398,114.7960912,118.0036316,872938,78091,1.79,28.1,4.98,17.71,3.32
01/09/2015,117.5816168,118.4257059,115.7246233,116.3154831,732982,76973.88,1.81,27.7,4.98,17.46,3.27
01/12/2015,116.6531063,119.4808098,116.6531063,118.9321442,854154,78705.5,1.77,28.3,4.98,17.85,3.34
13/01/2015,118.5100713,121.6332104,118.2568549,120.4092712,727470,79683,1.75,28.6,4.98,18.07,3.38
14/01/2015,118.5945072,120.873545,118.467899,119.5230103,820209,79096.5,1.77,28.4,4.98,17.94,3.36
15/01/2015,120.4092937,123.5746275,116.5264919,123.3214111,1360985,81610.19,1.71,29.3,4.98,18.51,3.46
16/01/2015,122.3928953,125.6426429,122.3506883,123.7856369,1278931,81917.38,1.7,29.4,4.98,18.58,3.48
19/01/2015,123.7434403,125.0095737,123.1947748,123.8700485,617314,81973.25,1.7,29.5,4.98,18.59,3.48
20/01/2015,124.2076964,125.516037,122.8993687,125.516037,792656,83062.5,1.68,29.8,4.98,18.84,3.53
21/01/2015,125.6426675,126.4445496,123.6168459,126.4445496,1071786,83676.94,1.67,30.1,4.98,18.98,3.55
22/01/2015,125.9802823,127.1198076,124.5031266,126.8243713,1212603,83928.31,1.66,30.2,4.98,19.03,3.56
23/01/2015,127.3730236,131.5090674,127.0776002,131.3824463,1162617,86944.69,1.61,31.2,4.98,19.72,3.69
26/01/2015,130.8337988,133.9147186,130.6227766,133.9147186,893390,88620.5,1.58,31.8,4.98,20.1,3.76
27/01/2015,133.5348704,134.5477746,131.0448106,131.9311066,957886,87307.81,1.6,31.4,4.98,19.8,3.71
28/01/2015,132.0998977,132.5641492,130.4117201,132.5219421,855806,87698.81,1.59,31.5,4.98,19.89,3.72
29/01/2015,131.5934826,135.2230682,131.5934826,135.2230682,886730,89486.31,1.56,32.2,4.98,20.29,3.8
30/01/2015,134.7166014,134.9276236,132.564172,134.2523499,1065091,88843.94,1.57,31.9,4.98,20.15,3.77
02/02/2015,134.2101417,135.5184821,132.3953556,133.1128235,860515,88089.81,1.59,31.7,4.98,19.98,3.74
02/03/2015,133.6192719,134.2101315,131.3402345,131.4668427,1014191,87000.56,1.61,31.3,4.98,19.73,3.69
02/04/2015,131.1714231,133.3238525,130.7493786,133.3238525,740077,88646.31,1.58,31.7,4.98,20.01,3.75
02/05/2015,132.2265331,133.7881028,132.1843389,133.3660583,620831,88674.38,1.58,31.7,4.98,20.02,3.75
02/06/2015,132.9862354,133.7037033,132.0999393,133.0284424,603523,88449.88,1.59,31.6,4.98,19.97,3.74
02/09/2015,132.0155339,132.5641996,130.8760214,131.6356964,1126302,87523.81,1.6,31.3,4.98,19.76,3.7
02/10/2015,131.2136142,133.7458809,130.960385,132.9862061,698965,88421.81,1.59,31.6,4.98,19.96,3.74
02/11/2015,132.1843699,134.1257647,132.1421628,133.7037201,636353,88898.88,1.58,31.8,4.98,20.07,3.76
02/12/2015,133.9569205,134.378965,132.1843413,133.2816467,880975,88618.25,1.71,18.6,8.51,20,3.74
