,0
Open,0
High,0
Low,0
Close,0
Volume,0
MarketValue,0
DividendYield,0
PriceToEarnings,0
EPS,0
PriceToCash,0
PriceToBook,0
ABER_ZG_5_15,4
ABER_SG_5_15,15
ABER_XG_5_15,15
ABER_ATR_5_15,15
ACCBL_20,19
ACCBM_20,19
ACCBU_20,19
AD,0
ADOSC_3_10,9
ADX_14,14
ADXR_14_2,16
DMP_14,1
DMN_14,1
AGj_13_8_5,12
AGt_13_8_5,7
AGl_13_8_5,4
ALMA_9_6.0_0.85,8
ALPHAT_14_1_50,26
ALPHATl_14_1_50_2,28
AMATe_LR_8_21_2,0
AMATe_SR_8_21_2,0
AO_5_34,33
OBV,0
OBV_min_2,2
OBV_max_2,2
OBVe_4,3
OBVe_12,11
AOBV_LR_2,0
AOBV_SR_2,0
APO_12_26,25
AROOND_14,14
AROONU_14,14
AROONOSC_14,14
ATRr_14,13
ATRTSe_14_20_3.0,20
BBL_5_2.0,4
BBM_5_2.0,4
BBU_5_2.0,4
BBB_5_2.0,4
BBP_5_2.0,4
BIAS_SMA_26,25
BOP,0
AR_26,25
BR_26,26
CCI_14_0.015,13
CDL_2CROWS,0
CDL_3BLACKCROWS,0
CDL_3INSIDE,0
CDL_3LINESTRIKE,0
CDL_3OUTSIDE,0
CDL_3STARSINSOUTH,0
CDL_3WHITESOLDIERS,0
CDL_ABANDONEDBABY,0
CDL_ADVANCEBLOCK,0
CDL_BELTHOLD,0
CDL_BREAKAWAY,0
CDL_CLOSINGMARUBOZU,0
CDL_CONCEALBABYSWALL,0
CDL_COUNTERATTACK,0
CDL_DARKCLOUDCOVER,0
CDL_DOJI_10_0.1,0
CDL_DOJISTAR,0
CDL_DRAGONFLYDOJI,0
CDL_ENGULFING,0
CDL_EVENINGDOJISTAR,0
CDL_EVENINGSTAR,0
CDL_GAPSIDESIDEWHITE,0
CDL_GRAVESTONEDOJI,0
CDL_HAMMER,0
CDL_HANGINGMAN,0
CDL_HARAMI,0
CDL_HARAMICROSS,0
CDL_HIGHWAVE,0
CDL_HIKKAKE,0
CDL_HIKKAKEMOD,0
CDL_HOMINGPIGEON,0
CDL_IDENTICAL3CROWS,0
CDL_INNECK,0
CDL_INSIDE,0
CDL_INVERTEDHAMMER,0
CDL_KICKING,0
CDL_KICKINGBYLENGTH,0
CDL_LADDERBOTTOM,0
CDL_LONGLEGGEDDOJI,0
CDL_LONGLINE,0
CDL_MARUBOZU,0
CDL_MATCHINGLOW,0
CDL_MATHOLD,0
CDL_MORNINGDOJISTAR,0
CDL_MORNINGSTAR,0
CDL_ONNECK,0
CDL_PIERCING,0
CDL_RICKSHAWMAN,0
CDL_RISEFALL3METHODS,0
CDL_SEPARATINGLINES,0
CDL_SHOOTINGSTAR,0
CDL_SHORTLINE,0
CDL_SPINNINGTOP,0
CDL_STALLEDPATTERN,0
CDL_STICKSANDWICH,0
CDL_TAKURI,0
CDL_TASUKIGAP,0
CDL_THRUSTING,0
CDL_TRISTAR,0
CDL_UNIQUE3RIVER,0
CDL_UPSIDEGAP2CROWS,0
CDL_XSIDEGAP3METHODS,0
open_Z_30_1,29
high_Z_30_1,29
low_Z_30_1,29
close_Z_30_1,29
CFO_9,8
CG_10,9
CHDLREXTl_22_22_14_2.0,13
CHDLREXTs_22_22_14_2.0,13
CHDLREXTd_22_22_14_2.0,0
CHOP_14_1_100.0,14
CKSPl_10_3_20,29
CKSPs_10_3_20,29
CMF_20,19
CMO_14,14
COPC_11_14_10,23
CRSI_3_2_100,100
CTI_12,11
CUBE_3.0_-1,1
CUBEs_3.0_-1,1
LDECAY_1,0
DEC_1,0
DEMA_10,9
DCL_20_20,19
DCM_20_20,19
DCU_20_20,19
DPO_20,30
EBSW_40_10,39
EFI_13,13
EMA_10,9
ENTP_10,18
ER_10,10
BULLP_13,12
BEARP_13,12
EXHC_DNa,0
EXHC_UPa,0
FISHERT_9_1,8
FISHERTs_9_1,9
FWMA_10,9
HA_open,0
HA_high,0
HA_low,0
HA_close,0
PE_to_Dividend,0
PE_to_PB,0
PC_to_E,0
CWM,0
PVT,1
recurrence_percentage,30
recurrence_entropy,30
daily_return,1
y,0
